customer_id,transaction_id,age,gender,account_type,branch,account_open_date,transaction_date,balance_amount,currency,transaction_amount,transaction_type,credit_score,loan_amount,loan_status,loan_approved,occupation,annual_income,email,notes
CUST-2784,TXN403696,21,,checking,New York,2018-01-22,06/03/2020,963.14,EUR,79.4,DEPOSIT,606,28677.15,Default,NO,Teacher,2990.38,,Auto-debit setup confirmed
CUST-3037,TXN850702,35,Female,SAVINGS,,22/02/2019,13/12/2022,6891.49,eur,1724.23,Withdrawal,,3318.36,Closed,Yes,Docter,11009.02,morgan.brown@gmail.com,Transaction verified by branch None
CUST-2726,TXN192462,31,male,Checking,los angeles,2019-09-02,2024-02-27,3827.46, USD,905.39,withdrawal,,2943.5,Active,,Doctet,-4460.47,john.taylor@yahoo.com,Transaction verified by branch los angeles
CUST-2779,TXN827013,66,female,Savings,CHI,28-Apr-2018,12/15/2021,15165.08,EUR,-500,Wire Transfer,647,,closed,NO,,30832.54,lee.brown@yahoo.com,Account dormant >6 months
CUST-2943,TXN312571,41,MALE,Fixed Deposit,,09/26/23,09/05/2024,4257.61,eur,1781.99,Deposit,574,4691.9,closed,YES,teachr,3584.65,sara.davis@bank.org,KYC documents pending
CUST-2982,TXN844624,47,F,savings,new york,18-Jan-2019,12/10/2020,2285.29,gbp,137.16,ATM,618,,Default,Yes,Engineer,-5848.7,chris.brown@,
CUST-2621,TXN838659,46,F,SAVINGS,Los Angeles,08/11/20,04/25/2022,5407.65,eur,1767.2,ATM,681,5927.29,Defaulted,yes,Teacher,1194.46,,Loan disbursed to account
CUST-2840,TXN870629,67,Male,savings,Los Angeles,2021-03-11,14/10/2023,2090.57,GBP,-178.66,Deposit,665,3459.29,closed,No,Engineer,,chris.anderson@bank.org,
cust2008,TXN502697,45,female,Savings,LA,24/12/2021,15/08/2022,866.31,EUR,9999999,withdrawal,,6996.37,active,Yes,Accountant,-10608.8,jane.jones@outlook.com,Customer flagged for review
cust1750,TXN354471,,Male,Checking,los angeles,19/09/2018,10/03/2021,2061.9,gbp,810.61,wire transfer,434,7674.86,active,no,Accountant,1403.72,taylor.smith@bank.org,Transaction verified by branch los angeles
CUST-3156,TXN767992,,MALE,Savings,,09-29-2018,2020-11-20,207.69,USD,-145.2,Deposit,588,33983.32,Active,no,enginr,1218.86,chris.jones@outlook.com,
CUST-1068,TXN820221,65,F,Checking,new york,2019-05-26,2023-02-19,1012.56,EUR,13.18,wire transfer,734,11425.67,Active,YES,enginr,-7696.91,mike.jones@outlook.com,Loan disbursed to account
CUST-2901,TXN408889,63,male,Checking,Chicago,06/06/2021,2024-03-13,29147.88, USD,9940.85,atm,720,63022.49,Defaulted,yes,teachr,13600.54,morgan.moore@bank.org,Account dormant >6 months
cust6084,TXN618510,22,M,Checking,los angeles,07/08/23,28/11/2023,22658.81,USD,11254.02,wire transfer,653,1927.71,Default,yes,Accountant,31235.02,morgantaylorgmail.com,Account dormant >6 months
CUST-1433,TXN975761,47,FEMALE,checking,Los Angeles,2019-01-12,21/07/2023,4666.34,EUR,1979.13,Withdrawal,615,25551.36,active,NO,enginr,8370.19,pat.wilson@bank.org,Customer flagged for review
CUST-1501,TXN326735,67,F,fixed deposit,,11-27-2021,14/05/2024,2759.79, USD,987.84,Withdrawal,750,3275.64,closed,Yes,enginr,777.69,john.miller@bank.org,Transaction verified by branch None
CUST-1496,TXN956505,28,FEMALE,savings,LA,31/02/2020,2024-02-15,750.64,USD,-287.29,Transfer,627,,Default,No,Lawyer,11064.36,john.smith@outlook.com,Transaction verified by branch LA
CUST-2060,TXN404562,65,,FD,Los Angeles,03-29-2018,06/04/2018,894.78,eur,534.34,Deposit,,4602.82,Active,YES,Teacher,,pat.jones@yahoo.com,KYC documents pending
CUST-2019,TXN130719,,FEMALE,Checking,N.Y.,23-Jan-2018,2024-04-08,1248.85,EUR,3.09,atm,718,12304.01,Default,Yes,Teacher,1160.95,taylor.brown@yahoo.com,
CUST-1933,TXN514250,74,MALE,Current,Houston,2024-03-19,2024-04-01,12072.1,gbp,938.3,DEPOSIT,706,135219.47,ACTIVE,yes,Doctor,16480.59,john.wilson@gmail.com,Loan disbursed to account
CUST-1381,TXN170060,44,FEMALE,SAVINGS,LA,13-Sep-2022,2023-05-25,2350.08,EUR,480.31,Transfer,575,5201.58,ACTIVE,NO,teachr,-1903.73,chris.davis@outlook.com,
CUST-2636,TXN331265,24,MALE,checking,Houston,15-Jun-2023,08/27/2023,604.84,GBP,312.01,withdrawal,565,2835.42,closed,No,,-3652.67,sara.jackson@bank.org,KYC documents pending
CUST-1181,TXN674765,31,FEMALE,Savings,New York,03/29/19,28/01/2020,228.22,usd,284.38,DEPOSIT,640,27940.05,Active,YES,Doctor,-7573.12,mike.miller@outlook.com,Customer flagged for review
CUST-1407,TXN718312,32,Male,Checking,CHI,09-17-2023,12/03/2023,-1,EUR,511.45,DEPOSIT,604,9745.41,ACTIVE,NO,Docter,7710.07,sara.wilson@outlook.com,Loan disbursed to account
CUST-2836,TXN403446,28,M,checking,N.Y.,2021-01-29,2024-05-26,1215.1,gbp,147.61,Wire Transfer,,7843.94,DEFAULT,yes,LAWYER,5700.18,morgan.miller@bank.org,KYC documents pending
CUST-1730,TXN463688,22,M,savings,new york,27-Apr-2018,2022-06-02,2591.31,USD ,666.35,Deposit,528,11176.77,closed,YES,enginr,10576.58,john.taylor@gmail.com,Account dormant >6 months
CUST-1366,TXN581498,56,F,Fixed Deposit,N.Y.,09-18-2021,27/09/2023,-99999,gbp,-49613.0,Withdrawal,656,7340.12,Active,No,Docter,-93306.64,lee.moore@outlook.com,Customer flagged for review
CUST-3090,TXN782977,36,female,savings,los angeles,2022-03-20,03/22/2023,744.42,eur,117.66,withdrawal,664,11949.26,closed,YES,LAWYER,-4334.54,morgan.brown@yahoo.com,Auto-debit setup confirmed
CUST-2177,TXN352327,30,Male,Fixed Deposit,new york,2021-04-14,2024-05-02,7334.32,gbp,1022.28,atm,794,,Active,Yes,LAWYER,,alex.davis@outlook.com,Loan disbursed to account
CUST-1568,TXN849005,42,MALE,SAVINGS,Houston,09-13-2021,14/12/2021,-99999,usd,-14665.72,withdrawal,652,2731.9,Closed,yes,Doctor,-189720.54,jane.brown@bank.org,Account dormant >6 months
CUST-2885,TXN225738,32,Female,FD,,03/06/19,2024-02-08,36169.79, USD,17306.76,Wire Transfer,718,-541.74,DEFAULT,Yes,Engineer,32033.69,john.jackson@outlook.com,
CUST-2475,TXN216353,,F,CHECKING,N.Y.,09/11/20,03/10/2023,12137.85,usd,5376.36,wire transfer,652,3303.53,DEFAULT,no,accountant,20337.35,chris.brown@bank.org,Transaction verified by branch N.Y.
CUST-1489,TXN970049,57,female,checking,,03/02/19,2024-01-22,6764.38, USD,3068.6,Wire Transfer,615,7261.85,ACTIVE,No,enginr,6766.12,jane.smith@outlook.com,Customer flagged for review
CUST-2783,TXN697480,50,M,savings,N.Y.,09-Jan-2018,10/04/2022,2884.06,EUR,446.13,DEPOSIT,889,46437.33,Default,Yes,Teacher,6978.98,taylor.wilson@bank.org,KYC documents pending
CUST-1211,TXN817999,23,MALE,CHECKING,Houston,2018-04-10,03/12/2022,10441.44,USD ,2132.02,DEPOSIT,692,,Active,Yes,Ajcountant,0,morgan.wilson@outlook.com,Auto-debit setup confirmed
CUST-2760,TXN673372,46,female,FD,new york,12/17/18,04/06/2022,1330.13,usd,407.74,wire transfer,656,6074.43,DEFAULT,Yes,Docter,,,Account dormant >6 months
cust6937,TXN759062,57,FEMALE,Fixed Deposit,new york,07-17-2021,2023-11-02,1495.49,usd,180.02,Transfer,545,5276.51,active,Yes,Accountant,6033.21,taylor.smith@outlook.com,
CUST-2425,TXN519511,69,M,savings,,2022-04-26,2024-01-24,1955.21,EUR,405.07,Deposit,good,,Defaulted,no,Teacher,2353.16,lee.smith@gmail.com,
CUST-3008,TXN677092,23,MALE,Current,los angeles,2018-01-22,01/31/2021,20285.31,USD,,ATM,,4224.08,DEFAULT,Yes,accountant,14380.15,taylor.miller@bank.org,
CUST-1319,TXN558669,200,Female,Savings,Chicago,01-06-2022,2022-08-21,555.85,GBP,-33.55,withdrawal,742,5076.1,Closed,No,Accountant,2697.4,sara.moore@bank.org,Customer flagged for review
CUST-2724,TXN663140,75,male,Current,New York,10/10/2020,2022-08-16,411.53,USD,73.57,Deposit,752,7653.66,Defaulted,YES,enginr,1008.7,,Auto-debit setup confirmed
CUST-1811,TXN463674,44,male,FD,Chicago,07-17-2023,12/15/2023,1666.45,eur,29.28,atm,611,2309.68,ACTIVE,YES,LAWYER,1112.08,pat.moore@bank.org,
CUST-1169,TXN594596,67,F,Checking,Houston,12/27/20,20/04/2021,864.16,gbp,299.72,Transfer,683,4611.35,closed,YES,teachr,-3769.34,john.anderson@yahoo.com,Account dormant >6 months
CUST-2792,TXN569270,63,MALE,fixed deposit,Los Angeles,00/13/2019,11/27/2021,7468.17,NGN,1629.03,Withdrawal,563,11420.42,Closed,no,LAWYER,,jane.moore@outlook.com,Customer flagged for review
CUST-1452,TXN155994,41,Male,Savings,N.Y.,05/01/24,2024-06-21,2488.48,NGN,461.77,withdrawal,717,4744.17,Defaulted,yes,Accountant,3449.85,lee.jones@outlook.com,Loan disbursed to account
CUST-1664,TXN782841,26,FEMALE,Fixed Deposit,Phoenix,30-Aug-2021,03/06/2022,30676.15,EUR,10448.51,wire transfer,683,12878.17,DEFAULT,yes,enginr,29279.83,morgan.anderson@yahoo.com,KYC documents pending
CUST-1603,TXN467411,36,male,Current,LA,11/19/19,17/12/2021,23675.15,USD ,8092.05,DEPOSIT,705,4900.17,,yes,Teacher,13695.73,janemillergmail.com,Loan disbursed to account
CUST-1632,TXN525155,70,Female,fixed deposit,CHI,16/05/2021,11/04/2022,5209.08,usd,410.28,wire transfer,645,27544.8,Active,No,,7996.46,taylor.smith@yahoo.com,KYC documents pending
CUST-2262,TXN744925,65,M,Fixed Deposit,New York,05-Sep-2022,2024-04-07,9327.84,EUR,3662.22,withdrawal,601,38877.95,active,no,Teacher,12953.88,morgan.taylor@gmail.com,Customer flagged for review
CUST-3135,TXN353585,60,MALE,checking,Los Angeles,01/02/2020,01/25/2022,577.24,USD ,66.0,Deposit,623,,Active,YES,Lawyer,,morgan.jones@yahoo.com,Loan disbursed to account
cust7273,TXN779642,60,female,fixed deposit,los angeles,27/01/2022,2022-08-20,12540.11,EUR,1505.72,Transfer,674,2709.39,Active,yes,Teacher,1259.41,pat.jones@bank.org,Loan disbursed to account
CUST-2391,TXN805723,31,male,Savings,Chicago,20/07/2020,02/22/2021,1731.04,GBP,225.25,Deposit,642,2746.51,Closed,no,,1229.55,leemillergmail.com,Loan disbursed to account
CUST-3062,TXN647175,55,Male,Checking,los angeles,04/23/23,01/04/2024,302.33,USD ,-80.76,wire transfer,715,5075.91,Active,Yes,Teacher,-3775.7,mike.anderson@yahoo.com,Transaction verif
CUST-1369,TXN663849,69,F,savings,Houston,02-12-2023,2023-12-20,2940.46,usd,1303.19,Transfer,,7902.81,DEFAULT,No,Doctor,5957.71,sara.jackson@bank.org,Customer flagged for review
CUST-1540,TXN923622,56,MALE,Checking,Houston,04/07/2021,18/12/2021,3473.04,eur,627.41,Deposit,0,2347.0,Closed,No,Teacher,-1735.33,morgan.wilson@outlook.com,Auto-debit setup confirmed
CUST-1641,TXN574320,41,Male,CHECKING,Chicago,01-17-2019,09/03/2022,5511.79, USD,849.01,atm,762,16283.43,Defaulted,yes,Teacher,-50000,mike.wilson@yahoo.com,Transaction verified by branch Chicago
CUST-2960,TXN652997,75,M,CHECKING,CHI,05-21-2023,03/06/2024,2852.56, USD,1493.14,Deposit,652,31161.58,ACTIVE,YES,Lawyer,6696.87,taylor.brown@bank.org,Loan disbursed to account
CUST-1373,TXN899840,53,male,savings,Los Angeles,2021-07-09,01/08/2024,2401.55,NGN,50.0,DEPOSIT,697,,Closed,yes,LAWYER,9123.88,morgan.miller@outlook.com,Customer flagged for review
CUST-2956,TXN750600,68,,checking,N.Y.,04/05/19,10/07/2023,2162.69, USD,142.34,Deposit,513,3886.47,ACTIVE,,Engineer,331.35,taylor.brown@bank.org,Loan disbursed to account
CUST-2853,TXN399335,30,M,FD,Houston,30/11/2019,16/12/2019,1884.75,GBP,951.11,atm,---,4445.56,Defaulted,Yes,accountant,5084.31,sara.wilson@gmail.com,KYC documents pending
CUST-2478,TXN509224,46,male,Savings,New York,2025-15-40,06/10/2024,1050.77, USD,537.84,ATM,593,6388.11,,No,Engineer,2737.34,lee.jones@yahoo.com,
CUST--4279,TXN796860,23,F,FD,new york,11-Nov-2020,2023-01-24,4789.12,gbp,321.88,Deposit,752,1795.02,Default,YES,Accountant,320.9,morgan.moore@,Customer flagged for review
CUST-1935,TXN427432,19,FEMALE,checking,new york,06-23-2020,2022-11-21,645.78,NGN,134.37,atm,766,,Closed,Yes,Teacher,,chris.smith@gmail.com,Account dormant >6 months
CUST-3011,TXN546314,31,male,savings,Phoenix,08/12/2020,2022-01-26,5667.65,usd,2482.41,atm,651,19765.64,Closed,Yes,enginr,3455.51,taylor.taylor@bank.org,KYC documents pending
CUST-1519,TXN598235,44,F,fixed deposit,Phoenix,11-Jan-2019,31/01/2020,187117.13,eur,,Withdrawal,609,7898.48,ACTIVE,no,Accountant,-50000,morgan.taylor@bank.org,KYC documents pending
CUST-1451,TXN478873,74,Male,Fixed Deposit,Los Angeles,21/05/2020,2021-08-11,8175.2,eur,2183.42,wire transfer,639,3057.86,Default,no,Engineer,19020.23,sara.miller@yahoo.com,Loan disbursed to account
CUST-3171,TXN413775,69,M,FD,Houston,26-Oct-2019,2020-12-31,11252.73,usd,4218.88,Deposit,540,,Defaulted,No,Engineer,19558.9,chris.jones@bank.org,Loan disbursed to account
CUST-1630,TXN527527,58,female,savings,Phoenix,10-May-2022,2022-10-11,3156.94,USD ,733.34,wire transfer,626,7706.31,ACTIVE,YES,amcountant,17086.01,sara.jackson@gmail.com,Account dormant >6 months
CUST-2127,TXN215715,72,,SAVINGS,,05-15-2024,2024-06-26,2139.73,USD ,467.23,wire transfer,665,88619.72,,yes,teachr,-9782.84,john.miller@gmail.com,Transaction verified by branch None
CUST-1492,TXN903664,59,female,fixed deposit,new york,31/02/2020,2021-08-29,5834.68,USD,2075.91,wire transfer,,2455.47,Defaulted,Yes,Docter,3360.76,sara.davis@,Account dormant >6 months
CUST-2873,TXN801252,65,FEMALE,savings,CHI,22-May-2019,2024-03-21,7479.33,gbp,3518.55,atm,536,46737.02,closed,No,teachy,-1692.21,lee.jones@gmail.com,
CUST-2920,TXN944890,,FEMALE,fixed deposit,Chicago,03-07-2024,06/11/2024,2896.67,EUR,590.32,wire transfer,542,,active,NO,,5857.59,mike.davis@yahoo.com,Customer flagged for review
CUST-2595,TXN400844,58,male,CHECKING,new york,11-Mar-2018,2022-11-03,8767.03,gbp,4169.71,Withdrawal,643,15504.44,Active,no,enginr,,mike.brown@outlook.com,
CUST-3058,TXN226422,,male,FD,Houston,17-May-2024,07/06/2024,4069.65,USD ,1712.3,Deposit,797,26649.61,DEFAULT,YES,accountant,1766.41,john.taylor@bank.org,
CUST-1516,TXN117707,66,male,CHECKING,N.Y.,05-07-2024,06/18/2024,3261.36,NGN,1619.6,wire transfer,758,2188.96,Active,YES,teachr,,pat.taylor@gmail.com,Account dormant >6 months
CUST-2959,TXN249449,51,male,Fixed Deposit,new york,10-20-2019,2023-03-29,1075.81,NGN,225.51,withdrawal,630,13215.93,DEFAULT,YES,LAWYER,-4828.66,pat.moore@yahoo.com,
CUST-2269,TXN681698,51,Female,Checking,Phoenix,2019-12-09,06/15/2020,1410.99,GBP,-0.01,ATM,573,5757.04,ACTIVE,No,Doctor,-3150.39,chris.smith@outlook.com,Customer flagged for review
CUST-2410,TXN698826,56,female,savings,Los Angeles,11/27/23,13/01/2024,1381.76,USD ,281.81,atm,761,48404.42,active,yes,enginr,-267.32,mike.taylor@yahoo.com,Loan disbursed to account
CUST--9696,TXN199355,72,FEMALE,Current,Houston,12/06/2019,2021-10-15,2713.59,USD ,92.0,wire transfer,656,17997.62,ACTIVE,Yes,accountant,6314.71,mike.miller@bank.org,
CUST-2468,TXN426683,52,Female,checking,LA,30-Dec-2019,05/10/2022,44134.53,NGN,4790.0,withdrawal,596,3046.33,DEFAULT,Yes,Lawyer,76435.35,alex.wilson@bank.org,Auto-debit setup confirmed
CUST-1213,TXN130897,35,female,savings,Los Angeles,11/03/23,26/04/2024,1204.74,NGN,213.77,ATM,637,26050.23,Default,NO,Docter,3544.43,chris.jones@gmail.com,Auto-debit setup confirmed
CUST-3051,TXN711417,72,Female,Savings,New York,07-May-2018,03/14/2024,1551.73, USD,69.29,Withdrawal,672,,active,,,7426.11,taylor.taylor@bank.org,
CUST-1473,TXN339980,25,F,CHECKING,N.Y.,10-Feb-2022,23/06/2022,33467.53,EUR,15078.11,Deposit,628,3323.61,DEFAULT,Yes,accountant,23815.47,john.moore@outlook.com,Customer flagged for review
cust1507,TXN125680,,Female,Fixed Deposit,los angeles,26-Apr-2018,2019-10-22,15806.1,eur,3941.91,withdrawal,762,5985.62,DEFAULT,yes,Teacher,29189.87,lee.anderson@gmail.com,
CUST-1367,TXN248845,68,male,Checking,los angeles,07-07-2023,2023-12-29,1928.67,eur,733.88,Deposit,675,4154.34,closed,YES,Accountant,7977.32,,Loan disbursed to account
CUST-1938,TXN160005,35,FEMALE,CHECKING,,14/07/2021,2022-09-19,14486.59,usd,628.28,withdrawal,593,1741.35,DEFAULT,,Accountant,20560.19,morgan.moore@yahoo.com,KYC documents pending
CUST-1208,TXN206142,52,F,SAVINGS,CHI,01/03/20,05/02/2022,198.88,eur,-255.06,Withdrawal,653,10506.22,DEFAULT,NO,enginr,-4182.6,sara.jackson@outlook.com,
CUST-2805,TXN292239,29,Female,Fixed Deposit,Houston,2020-02-27,09/01/2022,14569.73,EUR,1094.34,Deposit,618,2633.64,Active,NO,Doctor,15766.45,taylor.miller@yahoo.com,Transaction verified by branch Houston
CUST-2811,TXN935579,21,MALE,CHECKING,Chicago,08/10/21,12/29/2022,14030.46,eur,5564.73,Withdrawal,611,,closed,No,Lawyer,9325.83,pat.brown@bank.org,Loan disbursed to account
CUST-2016,TXN970370,,Male,CHECKING,New York,07-17-2021,03/04/2022,1413.24,gbp,911.71,DEPOSIT,673,28786.2,DEFAULT,yes,LAWYER,,alex.brown@outlook.com,
CUST-2179,TXN737690,33,MALE,Checking,Los Angeles,2020-02-15,08/27/2022,3904.45,gbp,2081.04,Transfer,,3489.69,,YES,,9191.68,taylor.miller@bank.org,Account dormant >6 months
CUST-2411,TXN893913,68,Male,Checking,LA,02-01-2021,10/22/2021,94.42,usd,-127.94,withdrawal,615,,ACTIVE,No,Doctor,-831.56,lee.taylor@bank.org,Account dormant >6 months
CUST-2961,TXN941538,43,male,Current,CHI,02-28-2022,05/06/2023,2947.7,NGN,954.67,withdrawal,673,12128.33,ACTIVE,yes,accountant,-7805.84,pat.davis@yahoo.com,Auto-debit setup confirmed
CUST-2789,TXN982525,58,,FD,Phoenix,28-Oct-2021,21/08/2023,3417.58,GBP,922.7,withdrawal,950,21987.24,ACTIVE,YES,Doctor,6817.66,lee.wilson@gmail.com,Customer flagged for review
CUST-2741,TXN611482,62,male,Current,New York,06/04/2022,23/11/2023,8981.34,usd,-500,Deposit,,5113.78,Closed,no,enginr,17931.28,sara.brown@yahoo.com,Loan disbursed to account
CUST-3157,TXN109558,23,MALE,Checking,CHI,29/05/2024,06/29/2024,8048.6,gbp,403.88,Withdrawal,745,29765.4,ACTIVE,YES,Teacher,1965.73,alex.smith@gmail.com,Loan disbursed to account
CUST-1718,TXN704116,37,female,CHECKING,LA,09/06/19,27/03/2022,6869.38,GBP,938.81,Deposit,688,1724.51,closed,yes,accountant,15064.4,,
CUST-1825,TXN898335,59,male,SAVINGS,New York,2023-10-21,2024-02-08,20318.32,USD,8497.59,ATM,unknown,669.63,active,no,Doctor,22826.89,alex.davis@outlook.com,Loan di
CUST-1952,TXN693475,30,,checking,CHI,2024-04-12,05/23/2024,4948.98,NGN,2318.05,DEPOSIT,650,15046.28,closed,No,Docter,14991.31,alex.jackson@outlook.com,
CUST-2974,TXN480130,21,MALE,CHECKING,Houston,2021-07-11,17/01/2023,13807.19,EUR,1362.09,Deposit,760,3009.04,Active,YES,Docter,12525.75,morganandersongmail.com,Auto-debit setup confirmed
CUST-2815,TXN901852,27,Female,fixed deposit,Phoenix,18/08/2022,01/09/2022,864.42,GBP,-80.81,Withdrawal,489,2156.08,Closed,no,Engineer,10289.05,sara.moore@,
CUST-1271,TXN120742,61,female,fixed deposit,Phoenix,06-24-2020,07/07/2022,2829.83,GBP,9999999,withdrawal,668,38196.55,,Yes,accountant,-2823.11,,
CUST-1542,TXN230874,44,Female,SAVINGS,N.Y.,17-Jan-2020,2022-12-02,27855.76,NGN,7558.54,Transfer,GOOD,7308.15,closed,yes,Lawyer,38298.19,jane.anderson@bank.org,Loan disbursed to account
CUST-1505,TXN865806,38,FEMALE,Fixed Deposit,Chicago,21-Jan-2019,04/22/2019,2375.8,eur,542.11,DEPOSIT,740,14669.95,DEFAULT,yes,Accountant,-13431.43,lee.brown@,Loan disbursed to account
CUST-2870,TXN391483,24,Female,Current,,14/11/2021,28/01/2022,2177.51,GBP,523.48,withdrawal,519,56154.44,DEFAULT,NO,LAWYER,2462.75,morgan.miller@outlook.com,Account dormant >6 months
CUST-3177,TXN332561,30,F,CHECKING,los angeles,11-Sep-2023,2024-01-10,74.65,gbp,-172.63,DEPOSIT,640,,ACTIVE,yes,Lawyer,,sara.anderson@bank.org,Account dormant >6 months
CUST-2146,TXN765299,,Male,Checking,LA,25/02/2018,12/19/2021,27367.4,gbp,-0.01,withdrawal,570,9282.86,active,YES,Doctor,54434.45,chris.wilson@bank.org,KYC documents pending
CUST-2080,TXN373061,29,FEMALE,checking,Phoenix,09-Sep-2019,17/01/2020,315.49,EUR,359.71,withdrawal,596,16678.96,Closed,Yes,LAWYER,-6132.85,taylor.jackson@gmail.com,Account dormant >6 months
CUST-2226,TXN316014,45,MALE,fixed deposit,los angeles,03-24-2022,04/01/2024,4333.48,eur,122.91,DEPOSIT,659,36880.74,active,YES,accountant,3697.78,john.smith@gmail.com,Transaction verified by branch los angeles
CUST-2644,TXN329392,53,female,Savings,Chicago,03/15/23,16/02/2024,1207.21,gbp,412.34,Withdrawal,565,4913.49,closed,,Doctor,-270.58,pat.anderson@bank.org,KYC documents pending
CUST-1150,TXN623555,61,FEMALE,Fixed Deposit,los angeles,12-13-2021,2023-06-25,1804.88, USD,769.63,Withdrawal,597,47356.26,,Yes,enginr,5366.96,john.smith@gmail.com,KYC documents pending
CUST-1215,TXN358771,,MALE,Current,CHI,05/31/24,06/20/2024,1585.29, USD,428.72,DEPOSIT,816,19363.1,Active,yes,Accountant,-1007.53,mike.taylor@gmail.com,Auto-debit setup confirmed
CUST-1751,TXN220401,62,male,savings,LA,N/A,2020-05-22,4768.45,GBP,285.14,DEPOSIT,0,12783.42,active,No,Docter,-620.62,pat.moore@bank.org,
CUST-1972,TXN945586,-1,female,Fixed Deposit,Chicago,06/07/20,2020-08-14,25658.52,USD,10213.89,wire transfer,766,,Defaulted,Yes,Teacher,8276.04,morgan.brown@yahoo.com,Loan disbursed to account
CUST-1676,TXN730157,52,F,Current,Phoenix,22-Oct-2020,10/30/2023,1738.11, USD,867.08,atm,good,119734.69,active,Yes,accountant,5092.1,taylor.jones@gmail.com,Loan disbursed to account
CUST-1361,TXN896509,61,Male,fixed deposit,Phoenix,07-Feb-2023,01/07/2023,19037.0,USD ,875.72,Wire Transfer,698,2718.1,Default,yes,Engineer,28034.89,jane.anderson@bank.org,KYC documents pending
